sku,price,qty,free_qty,Discount (in Percentage),GST %,item_code
BKH0012,12,1,,,18,
MBB0103,13,1,,,18,
MBB0104,14,1,,,18,
MBABC0003,15,1,,,18,
MBABC0004,16,1,,,18,
MBABC0008,17,1,,,18,
MBABC0011,18,1,,,18,
MBABC0012,19,1,,,18,
MBABC0013,20,1,,,18,
MBABC0019,21,1,,,18,
MBB0029,22,1,,,18,
MBB0030,23,1,,,18,
MBBH0002,24,1,,,18,
MBBH0003,25,1,,,18,
MBBH0004,26,1,,,18,
MBBH0005,27,1,,,18,
MBBH0006,28,1,,,18,
MBBH0007,29,1,,,18,
MBBH0008,30,1,,,18,
MBBH0009,31,1,,,18,
MBBH0010,32,1,,,18,
MBBH0011,33,1,,,18,
MBBH0012,34,1,,,18,
MBBH0013,35,1,,,18,
MBBH0014,36,1,,,18,
MBBH0015,37,1,,,18,
MBBH0016,38,1,,,18,
MBBH0017,39,1,,,18,
MBBH0018,40,1,,,18,
MBBH0019,41,1,,,18,
MBBH0023,42,1,,,18,
MBBH0024,43,1,,,18,
MBBH0025,44,1,,,18,
MBBH0026,45,1,,,18,
MBBH0027,46,1,,,18,
MBBH0028,47,1,,,18,
MBBH0029,48,1,,,18,
MBBH0030,49,1,,,18,
MBBH0031,50,1,,,18,
MBBH0032,51,1,,,18,
MBBI0066,52,1,,,18,
MBBI0067,53,1,,,18,
MBBI0070,54,1,,,18,
MBBI0071,55,1,,,18,
MBBI0134,56,1,,,18,
MBC0012,57,1,,,18,
MBC0015,58,1,,,18,
MBCLM0272,59,1,,,18,
MBCLM0291,60,1,,,18,
MBCLM0338,61,1,,,18,
MBCND250295000000017,62,1,,,18,
MBCSSU0053,63,1,,,18,
MBCSSU0088,64,1,,,18,
MBCSSU0150,65,1,,,18,
MBDT0095,66,1,,,18,
MBDT0096,67,1,,,18,
MBDT0098,68,1,,,18,
MBE0074,69,1,,,18,
MBE0075,70,1,,,18,
MBGE0001,71,1,,,18,
MBGE0002,72,1,,,18,
MBGE0003,73,1,,,18,
MBGE0004,74,1,,,18,
MBGE0005,75,1,,,18,
MBGE0006,76,1,,,18,
MBGE0007,77,1,,,18,
MBGE0008,78,1,,,18,
MBGE0010,79,1,,,18,
MBGE0011,80,1,,,18,
MBGE0012,81,1,,,18,
MBGE0013,82,1,,,18,
MBH0042,83,1,,,18,
MBHIC0239,84,1,,,18,
MBHIC0296,85,1,,,18,
MBHIC0298,86,1,,,18,
MBHIC0353,87,1,,,18,
MBKE0082,88,1,,,18,
MBKH0051,89,1,,,18,
MBMDE050106000000404,90,1,,,18,
MBME0001,91,1,,,18,
MBME0003,92,1,,,18,
MBME0004,93,1,,,18,
MBMIHI33,94,1,,,18,
MBMS0062,95,1,,,18,
MBMS0063,96,1,,,18,
MBMW0028,97,1,,,18,
MBN0116,98,1,,,18,
MBN0117,99,1,,,18,
MBN0124,100,1,,,18,
MBN0125,101,1,,,18,
MBN0126,102,1,,,18,
MBN0127,103,1,,,18,
MBNIPRO025,104,1,,,18,
MBPHM01BSACTORR000015,105,1,,,18,
MBPHM01BSYPDRRD000026,106,1,,,18,
MBPHM01BTABALKM000021,107,1,,,18,
MBPHM01BTABJBCP000007,108,1,,,18,
MBPHM01BTABSUNP000009,109,1,,,18,
MBPHM01BTABSUNP000017,110,1,,,18,
MBPHM01BTABSUNP000031,111,1,,,18,
MBPHM01BTABSWIS000001,112,1,,,18,
MBPHM01BTABSYTO000004,113,1,,,18,
MBPHM01BTABTORR000017,114,1,,,18,
MBPHM01BTABTORR000022,115,1,,,18,
MBPHM01BTABZYDU000758,116,1,,,18,
MBPHM01CTABTORR000039,117,1,,,18,
MBPHM01DTABCIPL000041,118,1,,,18,
MBPHM01DTABINVI000001,119,1,,,18,
MBPHM01ETABBLUE000011,120,1,,,18,
MBPHM01FTABABBT000036,121,1,,,18,
MBPHM01GTABELDR000001,122,1,,,18,
MBPHM01HTABABBT000048,123,1,,,18,
MBPHM01HTABLARN000018,124,1,,,18,
MBPHM01HTABSAZY000002,125,1,,,18,
MBPHM01HTABTORR000061,126,1,,,18,
MBPHM01ISACWINM000006,127,1,,,18,
MBPHM01ITABSNFI000012,128,1,,,18,
MBPHM02BTABINTA000097,129,1,,,18,
MBPHM02BTABSUNP000137,130,1,,,18,
MBPHM02BTABTORR000083,131,1,,,18,
MBPHM02BTABTORR000150,132,1,,,18,
MBPHM02BTABUSVI000027,133,1,,,18,
MBPHM02BTABUSVI000028,134,1,,,18,
MBPHM02CTABLUPN000116,135,1,,,18,
MBPHM02CTABSERD000008,136,1,,,18,
MBPHM02CTABSUNP000159,137,1,,,18,
MBPHM02CTABTORR000161,138,1,,,18,
MBPHM02CTABTORR000162,139,1,,,18,
MBPHM02DGELZYDU000108,140,1,,,18,
MBPHM02DOINZYDU000104,141,1,,,18,
MBPHM02DTABABBT000139,142,1,,,18,
MBPHM02DTABASZE000007,143,1,,,18,
MBPHM02DTABBAYR000005,144,1,,,18,
MBPHM02DTABCIPL000125,145,1,,,18,
MBPHM02DTABCIPL001123,146,1,,,18,
MBPHM02DTABINTA000131,147,1,,,18,
MBPHM02DTABLUPN000124,148,1,,,18,
MBPHM02DTABPFZR000024,149,1,,,18,
MBPHM02DTABSUNP000172,150,1,,,18,
MBPHM02DTABSUNP000185,151,1,,,18,
MBPHM02DTABTORR000186,152,1,,,18,
MBPHM02DTABUSVI000044,153,1,,,18,
MBPHM02DTABUSVI000049,154,1,,,18,
MBPHM02FTABCIPL000146,155,1,,,18,
MBPHM02FTABLUPN000177,156,1,,,18,
MBPHM02FTABMRCK000009,157,1,,,18,
MBPHM02FTABMRCK000011,158,1,,,18,
MBPHM02FTABSUNP000190,159,1,,,18,
MBPHM02FTABSUNP000196,160,1,,,18,
MBPHM02FTABSUNP000205,161,1,,,18,
MBPHM02FTABTORR000197,162,1,,,18,
MBPHM02FTABTORR000206,163,1,,,18,
MBPHM02FTABTORR000215,164,1,,,18,
MBPHM02GTABEMCR000062,165,1,,,18,
MBPHM02GTABJBCP000030,166,1,,,18,
MBPHM02GTABJBCP000034,167,1,,,18,
MBPHM02GTABTORR000234,168,1,,,18,
MBPHM02HTABSNFI000040,169,1,,,18,
MBPHM02HTABSNFI000201,170,1,,,18,
MBPHM02ITABCIPL000167,171,1,,,18,
MBPHM02ITABCIPL000172,172,1,,,18,
MBPHM02ITABCIPL000174,173,1,,,18,
MBPHM02ITABGLNM000050,174,1,,,18,
MBPHM02ITABSNFI000046,175,1,,,18,
MBPHM02ITABSUNP000229,176,1,,,18,
MBPHM02ITABZYDU000151,177,1,,,18,
MBPHM02JTABASZE000019,178,1,,,18,
MBPHM02JTABCIPL000186,179,1,,,18,
MBPHM02JTABDRRD000108,180,1,,,18,
MBPHM02JTABDRRD000113,181,1,,,18,
MBPHM02JTABINTA000218,182,1,,,18,
MBPHM02JTABLUPN000220,183,1,,,18,
MBPHM02JTABLUPN000224,184,1,,,18,
MBPHM02JTABSUNP000235,185,1,,,18,
MBPHM02JTABSUNP000250,186,1,,,18,
MBPHM02JTABSUNP000259,187,1,,,18,
MBPHM02JTABSUNP000275,188,1,,,18,
MBPHM02JTABTORR000282,189,1,,,18,
MBPHM02LTABSNFI000047,190,1,,,18,
MBPHM03BSYPMACL000221,191,1,,,18,
MBPHM03BTABCIPL000336,192,1,,,18,
MBPHM03BTABERIS000122,193,1,,,18,
MBPHM03BTABSAMH000038,194,1,,,18,
MBPHM03CSACCIPL000362,195,1,,,18,
MBPHM04ATABGLXO000042,196,1,,,18,
MBPHM04ATABINTA000288,197,1,,,18,
MBPHM04ATABIPCA000191,198,1,,,18,
MBPHM04ATABJANS000007,199,1,,,18,
MBPHM04ATABJANS000008,200,1,,,18,
MBPHM04ATABMICR000164,201,1,,,18,
MBPHM04ATABSNFI000051,202,1,,,18,
MBPHM04BTABABBT000246,203,1,,,18,
MBPHM04CTABABBT000288,204,1,,,18,
MBPHM04CTABCIPL000392,205,1,,,18,
MBPHM04CTABINTA000315,206,1,,,18,
MBPHM04CTABSUNP000370,207,1,,,18,
MBPHM04CTABSUNP000380,208,1,,,18,
MBPHM04CTABSUNP000385,209,1,,,18,
MBPHM04CTABSUNP000387,210,1,,,18,
MBPHM04CTABZYDU000294,211,1,,,18,
MBPHM04DTABSUNP000446,212,1,,,18,
MBPHM04DTABSUNP000494,213,1,,,18,
MBPHM04DTABTORR000380,214,1,,,18,
MBPHM04DTABTORR000411,215,1,,,18,
MBPHM04GTABSUNP000564,216,1,,,18,
MBPHM02PTABJANS000005,217,1,,,18,
MBPHM03ARESCIPL000278,218,1,,,18,
MBPHM02NINJSAMH000025,219,1,,,18,
MBPHM03ATABZYDU000206,220,1,,,18,
MBPHM04HSYPABBT000344,221,1,,,18,
MBPHM04HTABABBT000330,222,1,,,18,
MBPHM04HTABABBT000335,223,1,,,18,
MBPHM04ITABINTA000592,224,1,,,18,
MBPHM04ITABSNFI000072,225,1,,,18,
MBPHM04ITABTORR000485,226,1,,,18,
MBPHM04ITABTORR000488,227,1,,,18,
MBPHM04ITABTORR000504,228,1,,,18,
MBPHM04JTABINTA000642,229,1,,,18,
MBPHM04KTABABBT000364,230,1,,,18,
MBPHM04KTABINTA000663,231,1,,,18,
MBPHM04MPATZUVE000067,232,1,,,18,
MBPHM04MTABALKM000282,233,1,,,18,
MBPHM04MTABRECK000003,234,1,,,18,
MBPHM03ATABMODI000006,235,1,,,18,
MBPHM04MTABTORR000548,236,1,,,18,
MBPHM04NTABLARN000257,237,1,,,18,
MBPHM05ATABTORR000574,238,1,,,18,
MBPHM05CTABSUNP000735,239,1,,,18,
MBPHM05CTABZYDU000353,240,1,,,18,
MBPHM05DTABSUNP000739,241,1,,,18,
MBPHM06DTABMACL000301,242,1,,,18,
MBPHM06DTABPFZR000074,243,1,,,18,
MBPHM06DTABPFZR000088,244,1,,,18,
MBPHM06DTABPFZR000091,245,1,,,18,
MBPHM06ETABTORR000591,246,1,,,18,
MBPHM08HKITLUPN000514,247,1,,,18,
MBPHM08HTABLUPN000500,248,1,,,18,
MBPHM08HTABLUPN000501,249,1,,,18,
MBPHM08HTABLUPN000541,250,1,,,18,
MBPHM08ITABCIPL000571,251,1,,,18,
MBPHM08JTABALKM000325,252,1,,,18,
MBPHM08JTABALKM000372,253,1,,,18,
MBPHM08JTABFDCL000109,254,1,,,18,
MBPHM08JTABFDCL000118,255,1,,,18,
MBPHM08JTABMANK000231,256,1,,,18,
MBPHM08LTABCIPL000662,257,1,,,18,
MBPHM08LTABCIPL000669,258,1,,,18,
MBPHM08MINJNIRL000001,259,1,,,18,
MBPHM08MTABINTA000805,260,1,,,18,
MBPHM08MTABJBCP000063,261,1,,,18,
MBPHM08MTABSUNP000890,262,1,,,18,
MBPHM08PTABTORR000657,263,1,,,18,
MBPHM08QTABCIPL000751,264,1,,,18,
MBPHM08QTABCIPL000753,265,1,,,18,
MBPHM08QTABCIPL000758,266,1,,,18,
MBPHM08QTABCIPL000761,267,1,,,18,
MBPHM08STABCIPL000777,268,1,,,18,
MBPHM09EINJTORR000875,269,1,,,18,
MBPHM10ATABCIPL000804,270,1,,,18,
MBPHM10DSOLINTA000892,271,1,,,18,
MBPHM10DTABSAMH000062,272,1,,,18,
